user_id,name,Age,Gender,Marital Status,Occupation
49226,Claire Ferguson,20,Female,Single,Student
77359,Jennifer Young,24,Female,Single,Student
5321,Jermaine Roberson,22,Male,Single,Student
21343,Rachel Carpenter,22,Female,Single,Student
75378,Shawn Parker,22,Male,Single,Student
34323,Timothy Clark,27,Female,Married,Employee
33246,Alexander Lucas,22,Male,Single,Student
87420,Christopher Curry,24,Female,Single,Student
31017,Daniel Mercado,23,Female,Single,Student
72391,Tony Lawrence,23,Female,Single,Student
91457,Scott Sherman,22,Female,Single,Student
33851,Michael Gilbert,23,Male,Single,Student
27008,Alex Cortez,23,Male,Single,Student
47798,Micheal King,21,Male,Single,Student
58443,Daniel Lopez,23,Female,Single,Self Employeed
32969,Carla Frye,24,Female,Single,Student
29585,Theresa Murphy,28,Female,Single,Employee
29210,Antonio Brown,23,Female,Single,Student
44025,Kyle Hall,25,Male,Single,Student
81729,Adrienne Davidson,21,Female,Single,Student
55846,Chris Gonzalez,24,Male,Single,Student
56648,Patrick Ibarra,22,Male,Single,Student
7018,Christopher Smith,22,Female,Single,Student
29312,Willie Glass,23,Male,Single,Student
68553,Danielle Soto,21,Male,Single,Student
5753,Matthew Carter,25,Male,Single,Student
80146,Mr. Jeffrey Smith,22,Female,Single,Student
41882,Terri Lawson,22,Male,Single,Student
572,Danielle Rasmussen,23,Female,Single,Employee
53990,Brady Ramirez,22,Male,Single,Student
22718,Randall Ross,22,Female,Single,Employee
40886,Thomas Hughes,22,Male,Single,Student
90799,Erica Bradley,25,Male,Married,Employee
59075,Kristin Carter,22,Female,Single,Student
79488,Martin Barnes,22,Female,Single,Student
9738,Christopher Williams,25,Male,Single,Student
61303,Timothy Warner,25,Male,Single,Student
70795,Brandon Blankenship,32,Female,Prefer not to say,House wife
25283,Taylor Mcdaniel,23,Female,Single,Student
38951,Kimberly Shah,23,Female,Single,Student
63358,Keith Sheppard,30,Male,Married,Self Employeed
23510,Diana Mitchell,23,Male,Single,Student
55123,Luke Evans,23,Male,Single,Student
76741,Mallory Tucker,22,Female,Single,Student
26983,Terrance Baker,22,Male,Single,Student
56760,Andrew Baker,27,Female,Married,Self Employeed
86455,Cynthia Gray,24,Female,Single,Student
7541,Daniel Martinez,23,Male,Single,Student
8337,William Collier,23,Female,Single,Student
19898,Anthony Vargas,22,Female,Single,Student
69665,Sharon Bell,23,Female,Single,Student
33769,Tina Lambert,23,Female,Single,Student
3237,James Davenport,24,Male,Single,Student
80649,Amy Williams,25,Male,Single,Student
64737,Brian Brown,22,Male,Single,Student
49747,Dr. Christopher Buckley,28,Female,Married,Student
1056,Elizabeth Mitchell,22,Female,Single,Student
30521,Sharon Scott,24,Female,Single,Student
76940,Kathy Yates,31,Male,Married,Employee
90825,Bryce Morgan,25,Male,Single,Student
41955,Antonio Ponce,23,Male,Single,Student
33728,Thomas Evans,22,Male,Single,Student
12452,Jamie White,23,Male,Single,Student
40286,Alexandria Weber,23,Male,Single,Student
53063,James Ruiz,23,Female,Single,Student
64787,Louis Lee,25,Male,Single,Student
60994,Erin Torres,24,Male,Single,Employee
39802,Roger Johnson,23,Female,Single,Student
22088,James Powers,23,Female,Single,Student
22337,Sara Davis,24,Female,Married,Employee
6861,Hunter Wood,22,Male,Single,Student
20697,Michael Williams,24,Female,Single,Student
85734,Brett Anderson,25,Female,Single,Student
5550,Stacey Cross,23,Male,Single,Student
47992,Curtis Thomas,26,Male,Single,Student
49789,Carrie Evans,24,Female,Single,Student
94710,Jason Macias,26,Male,Single,Student
4533,Ronald Ramirez,21,Male,Single,Student
97525,Mark Carter,22,Female,Single,Student
38862,Tracy Haynes,24,Male,Single,Student
94083,Mary Williams,24,Male,Single,Student
70963,Billy Brewer,23,Female,Single,Student
1256,Rachel Pearson,23,Male,Single,Student
86135,Vanessa Ortiz,22,Male,Single,Student
56042,Austin Barr,23,Male,Single,Student
24835,Dustin Morrison,24,Female,Single,Student
86873,Kimberly Lowery,24,Male,Single,Student
43518,Dylan Black,25,Male,Single,Student
4139,Jessica Gomez,25,Male,Single,Student
60230,Daniel Russell,28,Male,Married,Self Employeed
17407,Amy Kennedy,27,Female,Prefer not to say,Employee
97062,Jeffrey Lawrence,26,Male,Single,Self Employeed
22637,Gabriella Johnson,22,Male,Single,Student
89402,Makayla Curtis,24,Female,Single,Student
22934,Scott Smith,23,Male,Single,Student
94097,Laura Marks,25,Male,Single,Student
69318,Charles Phillips,23,Female,Single,Student
30973,Karen Rivera,23,Female,Single,Student
95622,Brian Kennedy,26,Male,Married,Employee
75375,Courtney Lucas,32,Female,Married,House wife
67309,Howard White,24,Female,Single,Student
32001,Spencer Martin,23,Male,Single,Student
27878,Lauren Swanson,22,Female,Single,Employee
44282,Katelyn Davis,24,Female,Single,Student
72118,Tara Sullivan,26,Male,Single,Employee
7393,Abigail Hancock,28,Male,Married,Employee
60723,Rachel Cole,26,Male,Single,Employee
8510,Sara Haley,25,Male,Single,Student
35057,Sandra Kelly,25,Male,Single,Employee
12548,Robert Smith,18,Male,Single,Student
75828,Rachael King,21,Male,Single,Student
77161,Lisa Shelton,25,Male,Single,Student
6335,Jason Torres,25,Male,Single,Student
26962,Christopher Ellison,23,Female,Single,Student
62482,Tiffany Sanders,23,Male,Single,Employee
49458,Michele Sparks,25,Female,Married,Employee
55705,Daniel Dunlap,31,Female,Married,House wife
3659,Christopher Lawrence,24,Male,Prefer not to say,Self Employeed
15765,Yvonne Jefferson,32,Female,Married,Employee
98573,Christine Green,25,Male,Single,Employee
7042,Todd Williams,27,Female,Married,Self Employeed
33021,Sabrina Skinner,26,Male,Single,Self Employeed
79414,Gabriel Gonzalez,26,Female,Single,Self Employeed
5021,Jake Smith,32,Male,Married,Employee
9751,Tyler Mcgee,24,Male,Married,Self Employeed
90157,Leslie Williams,27,Female,Married,Self Employeed
81405,Jessica Proctor,23,Male,Single,Student
22196,Isaiah Johnson,25,Male,Single,Student
54311,Vanessa Ortega,23,Male,Single,Student
7130,Sara Sandoval,23,Female,Single,Student
4820,Vincent Beck,28,Male,Married,Employee
51986,Angela Fletcher,32,Female,Married,Employee
60272,Tyler Hodges,23,Male,Single,Student
81439,Randall Mendez,19,Male,Single,Student
24228,Mr. Alex Brown,19,Female,Single,Student
85740,Alejandra Hansen,27,Female,Married,Employee
99692,Joseph Davis,25,Male,Single,Self Employeed
6099,Brandon Pope,33,Male,Married,Employee
20384,Zachary Martin,26,Female,Single,Employee
40087,Sean Parker,22,Female,Single,Student
31820,Frederick Serrano,23,Male,Single,Student
66852,Robert Marshall,22,Female,Single,Student
20461,Donald Gould,25,Male,Married,Employee
64296,Peter Williams,30,Female,Married,House wife
96599,Eduardo Hernandez,24,Male,Single,Student
52610,Lindsey King,25,Male,Single,Employee
21899,Gabrielle Hudson,23,Male,Single,Student
70074,Dale Warren,24,Female,Single,Student
37250,Michelle Poole,32,Male,Married,Employee
72426,Steven Ortiz,22,Male,Single,Student
18079,Cynthia Bautista,23,Male,Single,Student
62919,Adam Schmidt,23,Female,Single,Student
94707,Andrea Peterson,20,Male,Single,Student
97031,Amy Williams DVM,21,Male,Single,Student
41199,David Robinson,24,Female,Married,Self Employeed
77922,Herbert Figueroa,23,Female,Single,Student
51642,David Edwards,25,Male,Single,Employee
76180,Stacey Guerra,32,Female,Married,House wife
72634,Kari Smith,27,Male,Married,Employee
59836,Luke Ryan,20,Female,Single,Student
26473,Lawrence Khan,21,Male,Single,Student
79770,Mary Gutierrez,26,Male,Single,Employee
88503,Deborah Huff,25,Male,Single,Employee
83948,Jacob Adams,26,Male,Single,Employee
36470,Cassandra Mendoza,26,Female,Married,Employee
28527,Antonio Alvarez,27,Male,Single,Employee
63006,Vicki Black,27,Female,Single,Student
18923,Tyler Bell,24,Female,Single,Student
94662,Marcus Cox,25,Male,Married,Self Employeed
73355,Joshua Armstrong,20,Male,Single,Student
79063,Aaron White,22,Male,Single,Student
38422,Ryan Christensen DVM,26,Female,Married,Student
65501,Heather Wilson,27,Male,Prefer not to say,Employee
390,Cassandra Bryan,25,Female,Single,Student
74308,Jacob Smith,24,Male,Single,Employee
10829,Adrian Harris,23,Female,Single,Employee
18627,Lance Kelley,22,Male,Single,Student
95761,Veronica Miller,26,Male,Married,Self Employeed
65289,David Harvey,26,Male,Single,Employee
12714,Sarah Schaefer,25,Female,Married,Self Employeed
44862,Cassie Collins,29,Female,Married,Employee
72306,Eric Cox,23,Male,Single,Student
41736,Heidi Hernandez,22,Female,Single,Employee
52484,Eric Kim,22,Male,Single,Student
28492,Charles Thomas,32,Female,Married,House wife
69086,Joseph Stevens,28,Male,Married,Employee
70248,Robert Porter,22,Male,Single,Student
79404,Alexandra Cox,25,Male,Single,Employee
23302,Billy Ayala,26,Female,Married,Employee
88139,Dr. Nathaniel Sanchez,31,Male,Married,Self Employeed
89503,Melissa York,24,Male,Single,Student
63311,Devon Gonzales,24,Male,Single,Employee
38163,Erik Richard,31,Female,Married,Employee
41993,David Bauer,26,Male,Single,Employee
39307,Amy Wright,24,Female,Married,Self Employeed
97619,Jeffrey Jennings,22,Female,Single,Student
95267,Mr. Keith Wheeler Jr.,19,Male,Single,Student
76228,Sherry Page MD,25,Male,Married,Employee
88936,Nicole Campos,23,Female,Married,House wife
94962,John King,23,Female,Single,Student
64618,Derek Smith,23,Male,Single,Student
26758,Donald Morales,24,Male,Single,Student
75559,Charles Salinas,22,Female,Single,Employee
51444,Lisa Logan,26,Male,Married,Employee
13095,Breanna Cruz,25,Female,Single,Student
16154,Jennifer Gilmore,20,Male,Single,Student
99658,Gregory Rodriguez,29,Male,Married,Employee
82709,Taylor Chapman,23,Female,Single,Student
55321,Nichole Burnett,25,Male,Single,Self Employeed
9717,Antonio Silva,29,Female,Married,Employee
22741,Amanda Dunn,27,Male,Married,Self Employeed
47750,Daniel Burns,25,Male,Single,Self Employeed
79403,Crystal Jones,21,Male,Single,Student
11797,Sierra Reilly,23,Male,Single,Student
78696,Elizabeth Lee,24,Female,Single,Employee
36572,Jason Flores,32,Male,Married,Self Employeed
64023,Dennis Thompson,28,Male,Married,Employee
44725,William Wheeler,26,Male,Single,Employee
40667,Henry Kim,31,Female,Married,House wife
74544,Mark Smith,27,Female,Married,Self Employeed
54146,Amber Oneal,21,Female,Single,Student
39568,Bradley Clark,23,Female,Single,Student
91996,Zoe Clark,26,Male,Married,Employee
1471,Vincent Chan,32,Male,Married,Employee
75222,Kenneth Wu,25,Female,Married,Student
95293,Michael Ingram,28,Male,Single,Self Employeed
21716,Autumn Bryant,21,Female,Single,Student
3973,Samantha Mitchell,24,Male,Single,Student
80534,Kelly Nash,26,Female,Married,Self Employeed
5105,John Haney,32,Male,Married,Employee
41699,Sarah Berg,29,Male,Single,Self Employeed
93225,Shawn Mooney,21,Male,Single,Student
41086,Kevin Myers,24,Female,Single,Self Employeed
95693,Allen Smith,26,Male,Prefer not to say,Self Employeed
17157,Patricia Hanson,25,Male,Married,Employee
26770,Melissa Fisher,29,Male,Single,Employee
91483,Jennifer Bell,22,Male,Single,Student
22416,Howard Pratt,24,Male,Single,Student
21591,Colleen Walker,27,Male,Married,Employee
14159,Wendy Valdez,23,Female,Single,Student
81159,Katie Dominguez,32,Male,Married,Employee
33026,Travis Ellis,22,Female,Single,Student
70197,Claire Berg,28,Male,Married,Employee
68124,Levi Webster,23,Female,Single,Student
31683,Audrey Adams,30,Male,Married,Self Employeed
26824,Pamela Morgan,21,Male,Single,Student
20053,Timothy Nguyen,26,Female,Married,Employee
20595,Kathleen Jones,25,Male,Single,Self Employeed
64678,Susan Jensen,31,Male,Prefer not to say,Employee
57538,Kristopher Johnson,23,Female,Single,Employee
1389,Eric Ford,29,Female,Married,Employee
27107,Wendy Davis,21,Male,Single,Student
239,Megan Price,20,Male,Single,Student
21233,Erica Hill,22,Male,Single,Employee
29788,Joshua Johnson,30,Female,Married,House wife
41340,Chad Brown,27,Male,Married,Self Employeed
36937,Jason Martinez,23,Male,Single,Student
17267,Carrie Burns,30,Male,Married,Self Employeed
66837,Jason Hernandez,23,Male,Single,Student
35279,Roy Hernandez,28,Female,Married,Employee
93608,Casey Rice,30,Male,Married,Self Employeed
26109,Michael Sanchez,24,Female,Married,Employee
32256,Ricky Johnston,21,Male,Single,Student
60760,Dawn Graves,23,Female,Prefer not to say,Employee
30203,Dr. Heather Johnson,25,Male,Married,Self Employeed
98708,Brad Lucas,24,Female,Single,Employee
45289,Felicia Meyers,26,Male,Married,Employee
98692,Vincent Cox,25,Female,Single,Employee
49142,Ariel Cannon,22,Male,Single,Student
68017,Pamela Lynch,26,Female,Single,Employee
71065,Mr. Robert Cole DDS,23,Male,Single,Employee
45681,Haley Parker,21,Female,Single,Employee
76291,Kari Collins,25,Male,Married,Self Employeed
82777,Katherine Christensen,24,Female,Married,Employee
30666,Alexandra Lowe,22,Male,Married,Student
6590,Gary Powell,23,Female,Single,Student
51094,Mark Wilson,24,Male,Married,Employee
3896,Mary Silva,22,Female,Single,Student
90057,Jeremy Bush,30,Male,Married,Employee
43718,Nancy Lopez,23,Female,Prefer not to say,Employee
20705,Robert Wheeler,19,Male,Single,Student
92578,Lisa Lambert,21,Female,Single,Student
357,Madison Tucker,23,Male,Single,Student
73050,Mrs. Christine Rodriguez,24,Female,Single,Employee
38727,Joshua Wolf,26,Female,Married,Employee
71407,Kirk Mcmahon,26,Female,Single,Student
89997,Patty Arnold,25,Female,Single,Student
23396,Brooke Zuniga,28,Female,Married,Employee
65386,Stephanie Ayala,25,Female,Single,Student
76708,Michael Rojas,20,Female,Single,Student
44323,Deborah Norton,27,Female,Married,Self Employeed
21594,Jessica Little,25,Female,Married,Employee
33803,Jordan James,24,Female,Single,Student
7671,David Campos,25,Female,Married,Employee
77012,Andrew Patrick,25,Female,Prefer not to say,Employee
33103,George Thompson,24,Female,Married,Student
23660,Dana Rose,24,Male,Single,Student
75074,Larry Miranda,22,Male,Single,Employee
45986,Mariah Mejia,28,Male,Single,Employee
37307,Diana Murphy,25,Female,Single,Employee
5009,John Wagner,22,Male,Single,Student
33457,Alyssa Valdez,22,Female,Single,Student
4443,Mrs. Laurie Campbell,22,Male,Single,Student
25386,Joseph Carney,27,Female,Married,Employee
70923,Denise Murphy,22,Male,Single,Student
32671,Sean Gomez,24,Female,Single,Student
62918,Tiffany Morris,23,Female,Single,Student
64287,Jill Jensen,23,Female,Single,Student
85714,Rebecca Mckenzie,22,Female,Single,Student
68740,Frederick Floyd,23,Male,Single,Student
69686,Mary Dyer,32,Male,Married,Employee
12259,Emily York,25,Female,Married,Student
35344,Alison Young,28,Male,Single,Self Employeed
9088,Robert Michael,21,Female,Single,Student
24769,Christian Haley,24,Male,Single,Student
50624,Kevin Harris,26,Female,Married,Self Employeed
5811,Christopher Davis,32,Male,Married,Employee
83331,Teresa Downs,29,Male,Single,Self Employeed
66009,Andrew Warren,21,Male,Single,Student
76381,Nancy Roberts,24,Female,Single,Self Employeed
40866,Dawn Bryant,26,Male,Prefer not to say,Self Employeed
11018,Donald Morton,21,Male,Married,Employee
17420,Kevin Martin,29,Male,Single,Employee
84389,Katherine Stanley,22,Male,Single,Student
16476,Ronald Mendoza,24,Male,Single,Student
461,Joshua Rogers,27,Male,Married,Employee
34583,Megan Edwards,23,Female,Single,Student
1140,Rose Pugh,32,Male,Married,Employee
34365,Stephanie Stevens,22,Female,Single,Student
25837,Ryan Hinton,22,Female,Single,Employee
43993,Cynthia Edwards,26,Male,Married,Employee
1656,Charles Kerr,25,Female,Single,Student
19158,Andrew Hensley,20,Male,Single,Student
37140,Mitchell Walker,29,Male,Married,Employee
8319,Richard Hunter,23,Female,Single,Student
25322,Robert Ramirez,25,Male,Single,Self Employeed
34568,Audrey Rosario,29,Female,Married,Employee
34540,Diane Murray,27,Male,Married,Self Employeed
99740,Victor Scott,25,Male,Single,Self Employeed
42835,Kyle Graham,21,Male,Single,Student
17023,Jeffrey Little,23,Male,Single,Student
75186,Brandy Tyler,24,Female,Single,Employee
37337,Gary Neal,22,Male,Married,Self Employeed
84163,Richard Wilkinson,28,Male,Married,Employee
57605,Robert Price,26,Male,Single,Employee
41023,Melissa Taylor,22,Female,Single,Employee
47164,Christopher Navarro,26,Male,Married,Employee
78967,Garrett Nelson,25,Female,Single,Student
19311,Amy Horn MD,20,Male,Single,Student
26444,Melissa Baker,29,Male,Married,Employee
6563,Bradley Simmons,23,Female,Single,Student
94769,Melissa Martin,25,Male,Single,Self Employeed
42597,Veronica Scott,29,Female,Married,Employee
71000,Trevor Ruiz,27,Male,Married,Self Employeed
13451,Dr. Cassandra Jacobs,25,Male,Single,Self Employeed
653,Gregory Russell,21,Male,Single,Student
28963,Casey Ray,24,Male,Single,Student
30377,Matthew Klein,26,Female,Married,Self Employeed
86094,Misty Ryan,32,Male,Married,Employee
25079,Bailey Ford,29,Male,Single,Self Employeed
80312,Matthew Perkins,21,Male,Single,Student
81715,Nicholas Lane,24,Female,Single,Self Employeed
33376,Margaret Rodriguez,26,Male,Prefer not to say,Self Employeed
69029,Trevor Montgomery,31,Male,Married,Employee
35281,Eddie Moore,29,Male,Single,Employee
18749,Donna Boyd,22,Male,Single,Student
66146,Peggy Russell,24,Male,Single,Student
49872,Travis Hayes DDS,27,Male,Married,Employee
88104,Andrew Green,23,Female,Single,Student
30000,Paul Ferrell,30,Male,Married,Employee
27589,Stephen Brown,22,Female,Single,Student
86321,Melissa Olson,28,Male,Married,Employee
10466,Brandon Pittman,23,Female,Single,Student
94974,Ashley Young,30,Male,Married,Self Employeed
89592,Janet Harris,21,Male,Single,Student
78942,Hayley Zavala,26,Female,Married,Employee
14284,Casey Martinez,25,Male,Single,Self Employeed
41986,Erik Baker,31,Male,Prefer not to say,Employee
15826,Alan Reyes,23,Female,Single,Employee
